item_seq,product_name,search_name,ingredients,maker,image,interaction_text
201705221,그날엔노즈플러스연질캡슐,그날엔노즈플러스,,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400074,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705251,파워콤프액,파워콤프,,경동제약(주),,레보도파와 함께 복용하지 마십시오.
201705252,투엑스비엠연질캡슐,투엑스비엠,,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150911875983700010,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오.에스트로겐을 포함한 경구용 피임제, 항알도스테론제, 트리암테렌, 정주용 지질제와 함께 사용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201705483,아세틴캡슐(아세틸시스테인),아세틴,아세틸시스테인,아이큐어(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150903241909900088,"경구용 항생제(아목시실린, 세푸록심, 독시사이클린, 에리트로마이신, 티암페니콜)와 함께 복용 시 적어도 2시간 간격을 두고 복용하십시오."
201705256,솔루샷노즈연질캡슐,솔루샷노즈,,현대약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150350284927300019,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705257,솔루샷코프연질캡슐,솔루샷코프,,현대약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150350284927300013,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705493,티스탑에프캡슐,티스탑에프,,(주)시어스제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NCPBl3FiMt,
201705258,솔루샷쿨연질캡슐,솔루샷쿨,,현대약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150350284927300025,"진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오. 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용 시 의사 또는 약사와 상의하십시오. 복용 중에는 음주하지 마십시오."
201705259,일펜정(이부프로펜리신),일펜,이부프로펜리신,일양약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150160203116300129,"다른 비스테로이드성 소염진통제, 고용량 메토트렉세이트와 함께 복용하지 마십시오. 고용량 메토트렉세이트, 저용량 아스피린, ACE 저해제, 리튬, 푸로세미드 및 티아지드계 이뇨제, 쿠마린계 항응혈제(와파린 등), 선택적 세로토닌 재흡수억제제와 함께 복용 시 의사 또는 약사와 상의하십시오."
201705505,앤티팻정(엘카르니틴),앤티팻,엘카르니틴,구주제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151257490529200036,정주용 지질제와 함께 사용 시 의사 또는 약사와 상의하십시오.
