ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
디플루니살,프로글루메타신,5,중증의 위장관계 이상반응,,,식약처 DUR 병용금기
수마트립탄,클로미프라민,5,세로토닌 증후군,,,식약처 DUR 병용금기
수마트립탄,탄산리튬,5,세로토닌 증후군,,,식약처 DUR 병용금기
독시사이클린,아시트레틴,5,두개내압 증가,,,식약처 DUR 병용금기
미노사이클린,아시트레틴,5,두개내압 증가,,,식약처 DUR 병용금기
아시트레틴,옥시테트라사이클린,5,두개내압 증가,,,식약처 DUR 병용금기
아시트레틴,테트라사이클린,5,두개내압 증가,,,식약처 DUR 병용금기
리토나비르,아미오다론,5,"부정맥, 혈액장애, 발작 등 중대한 이상반응",,,식약처 DUR 병용금기
셀레길린염산염,아목사핀,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,아프라클로니딘,5,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",,,식약처 DUR 병용금기
셀레길린염산염,아프라클로니딘,5,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",,,식약처 DUR 병용금기
디히드로에르고타민,아타자나비르,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
아타자나비르,에르고타민,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
로바스타틴,아타자나비르,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
메틸에르고메트린,아타자나비르,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
아타자나비르,피모짓,5,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",,,식약처 DUR 병용금기
심바스타틴,아타자나비르,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
모클로베미드,브리모니딘,5,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",,,식약처 DUR 병용금기
